+0000.0000000000000000,+0001.0000000000000000,+0000.0000000000000000
+0000.0001002003004005,+0000.9998997996995995,+0000.0000000000000000
+0000.0003668866441571,+0000.9996107445906036,+0000.0000223687652393
+0000.0007715951126762,+0000.9991436468221581,+0000.0000847580651658
+0000.0012895090261267,+0000.9985087670550574,+0000.0002017239188159
+0000.0018990350344209,+0000.9977158389224352,+0000.0003851260431439
+0000.0025814264262877,+0000.9967740928301821,+0000.0006444807435301
+0000.0033204485037516,+0000.9956922790570079,+0000.0009872724392405
+0000.0041020814258198,+0000.9944786901246073,+0000.0014192284495728
+0000.0049142564218855,+0000.9931411824174591,+0000.0019445611606554
+0000.0057466217186882,+0000.9916871970395451,+0000.0025661812417666
+0000.0065903349203492,+0000.9901237799018991,+0000.0032858851777516
+0000.0074378789341252,+0000.9884576010405040,+0000.0041045200253708
+0000.0082828988496636,+0000.9866949731687892,+0000.0050221279815472
+0000.0091200574607599,+0000.9848418694729444,+0000.0060380730662958
+0000.0099449073695629,+0000.9829039406615497,+0000.0071511519688874
+0000.0107537778370789,+0000.9808865312837288,+0000.0083596908791922
+0000.0115436747436046,+0000.9787946953322169,+0000.0096616299241786
+0000.0123121922009504,+0000.9766332111494851,+0000.0110545966495644
+0000.0130574345173220,+0000.9744065956564243,+0000.0125359698262536
+0000.0137779473575605,+0000.9721191179241178,+0000.0141029347183216
+0000.0144726570679624,+0000.9697748121099788,+0000.0157525308220585
+0000.0151408172477358,+0000.9673774897800252,+0000.0174816929722388
+0000.0157819617497831,+0000.9649307516393493,+0000.0192872866108674
+0000.0163958633832421,+0000.9624379986929523,+0000.0211661379238053
+0000.0169824976702293,+0000.9599024428590692,+0000.0231150594707012
+0000.0175420110805752,+0000.9573271170569382,+0000.0251308718624863
+0000.0180746932319366,+0000.9547148847906963,+0000.0272104219773668
+0000.0185809525993606,+0000.9520684492507178,+0000.0293505981499213
+0000.0190612953289042,+0000.9493903619532743,+0000.0315483427178211
+0000.0195163067949349,+0000.9466830309389083,+0000.0338006622661564
+0000.0199466355808623,+0000.9439487285493646,+0000.0361046358697726
+0000.0203529795987895,+0000.9411895988023583,+0000.0384574215988517
+0000.0207360740954152,+0000.9384076643828515,+0000.0408562615217328
+0000.0210966813198703,+0000.9356048332688948,+0000.0432984854112345
+0000.0214355816544255,+0000.9327829050094590,+0000.0457815133361150
+0000.0217535660314869,+0000.9299435766710438,+0000.0483028572974689
+0000.0220514294803035,+0000.9270884484692132,+0000.0508601220504828
+0000.0223299656646256,+0000.9242190291005732,+0000.0534510052348007
+0000.0225899622883910,+0000.9213367407900737,+0000.0560732969215348
+0000.0228321972606153,+0000.9184429240679025,+0000.0587248786714817
+0000.0230574355231969,+0000.9155388422896238,+0000.0614037221871787
+0000.0232664264564903,+0000.9126256859126227,+0000.0641078876308865
+0000.0234599017874067,+0000.9097045765413334,+0000.0668355216712594
+0000.0236385739336069,+0000.9067765707531651,+0000.0695848553132275
+0000.0238031347251629,+0000.9038426637164908,+0000.0723542015583458
+0000.0239542544520144,+0000.9009037926115334,+0000.0751419529364516
+0000.0240925811917029,+0000.8979608398644715,+0000.0779465789438250
+0000.0242187403773379,+0000.8950146362045913,+0000.0807666234180701
+0000.0243333345705984,+0000.8920659635538375,+0000.0836007018755635
+0000.0244369434088702,+0000.8891155577576548,+0000.0864474988334744
+0000.0245301236994323,+0000.8861641111655761,+0000.0893057651349910
+0000.0246134096369765,+0000.8832122750695882,+0000.0921743152934347
+0000.0246873131237333,+0000.8802606620079046,+0000.0950520248683615
+0000.0247523241741163,+0000.8773098479413881,+0000.0979378278844950
+0000.0248089113881344,+0000.8743603743094953,+0000.1008307143023698
+0000.0248575224798842,+0000.8714127499722643,+0000.1037297275478510
+0000.0248985848492549,+0000.8684674530445282,+0000.1066339621062163
+0000.0249325061865848,+0000.8655249326282179,+0000.1095425611851966
+0000.0249596751014256,+0000.8625856104483088,+0000.1124547144502649
+0000.0249804617678146,+0000.8596498823976777,+0000.1153696558345070
+0000.0249952185795525,+0000.8567181199958562,+0000.1182866614245906
+0000.0250042808099478,+0000.8537906717664050,+0000.1212050474236466
+0000.0250079672713312,+0000.8508678645373792,+0000.1241241681912890
+0000.0250065809703883,+0000.8479500046691214,+0000.1270434143604896
+0000.0250004097560009,+0000.8450373792133867,+0000.1299622110306117
+0000.0249897269568580,+0000.8421302570075930,+0000.1328800160355484
+0000.0249747920065878,+0000.8392288897077841,+0000.1357963182856275
+0000.0249558510545930,+0000.8363335127636989,+0000.1387106361817074
+0000.0249331375611433,+0000.8334443463391572,+0000.1416225160996989
+0000.0249068728756018,+0000.8305615961807963,+0000.1445315309436013
+0000.0248772667969425,+0000.8276854544380303,+0000.1474372787650264
+0000.0248445181159535,+0000.8248161004369454,+0000.1503393814471003
+0000.0248088151387281,+0000.8219537014106948,+0000.1532374834505763
+0000.0247703361912222,+0000.8190984131888204,+0000.1561312506199567
+0000.0247292501048037,+0000.8162503808477909,+0000.1590203690474046
+0000.0246857166828496,+0000.8134097393249234,+0000.1619045439922261
+0000.0246398871485489,+0000.8105766139977333,+0000.1647834988537169
+0000.0245919045741607,+0000.8077511212306469,+0000.1676569741951916
+0000.0245419042920490,+0000.8049333688909032,+0000.1705247268170470
+0000.0244900142878751,+0000.8021234568353700,+0000.1733865288767540
+0000.0244363555763774,+0000.7993214773699048,+0000.1762421670537170
+0000.0243810425602045,+0000.7965275156827988,+0000.1790914417569959
+0000.0243241833722988,+0000.7937416502537600,+0000.1819341663739404
+0000.0242658802023469,+0000.7909639532398066,+0000.1847701665578457
+0000.0242062296078308,+0000.7881944908393687,+0000.1875992795527997
+0000.0241453228102197,+0000.7854333236358220,+0000.1904213535539575
+0000.0240832459768508,+0000.7826805069216107,+0000.1932362471015376
+0000.0240200804890442,+0000.7799360910040504,+0000.1960438285069046
+0000.0239559031969982,+0000.7772001214938418,+0000.1988439753091592
+0000.0238907866620014,+0000.7744726395772693,+0000.2016365737607285
+0000.0238247993864941,+0000.7717536822730020,+0000.2044215183405030
+0000.0237580060324979,+0000.7690432826743649,+0000.2071987112931363
+0000.0236904676289234,+0000.7663414701778988,+0000.2099680621931770
+0000.0236222417682520,+0000.7636482706989819,+0000.2127294875327654
+0000.0235533827930741,+0000.7609637068752426,+0000.2154829103316825
+0000.0234839419729517,+0000.7582877982584518,+0000.2182282597685957
+0000.0234139676720571,+0000.7556205614955442,+0000.2209654708323978
+0000.0233435055080275,+0000.7529620104993830,+0000.2236944839925886
+0000.0232725985024533,+0000.7503121566098456,+0000.2264152448877002
+0000.0232012872234100,+0000.7476710087457780,+0000.2291277040308111
+0000.0231296099204211,+0000.7450385735483323,+0000.2318318165312458
+0000.0230576026522270,+0000.7424148555161745,+0000.2345275418315977
+0000.0229852994077203,+0000.7397998571330219,+0000.2372148434592570
+0000.0229127322203893,+0000.7371935789879434,+0000.2398936887916665
+0000.0228399312766013,+0000.7345960198888308,+0000.2425640488345671
+0000.0227669250180378,+0000.7320071769694286,+0000.2452258980125328
+0000.0226937402385835,+0000.7294270457902851,+0000.2478792139711306
+0000.0226204021759557,+0000.7268556204339686,+0000.2505239773900749
+0000.0225469345983468,+0000.7242928935948740,+0000.2531601718067784
+0000.0224733598863411,+0000.7217388566639246,+0000.2557877834497335
+0000.0223996991103538,+0000.7191934998084574,+0000.2584068010811880
+0000.0223259721038282,+0000.7166568120475665,+0000.2610172158486043
+0000.0222521975324164,+0000.7141287813231592,+0000.2636190211444235
+0000.0221783929593557,+0000.7116093945669680,+0000.2662122124736753
+0000.0221045749072455,+0000.7090986377637490,+0000.2687967873290045
+0000.0220307589164164,+0000.7065964960108794,+0000.2713727450727033
+0000.0219569596000747,+0000.7041029535745609,+0000.2739400868253635
+0000.0218831906963961,+0000.7016179939428192,+0000.2764988153607838
+0000.0218094651177342,+0000.6991415998754822,+0000.2790489350067827
+0000.0217357949970991,+0000.6966737534513064,+0000.2815904515515936
+0000.0216621917320550,+0000.6942144361124150,+0000.2841233721555291
+0000.0215886660261778,+0000.6917636287061978,+0000.2866477052676236
+0000.0215152279282045,+0000.6893213115248186,+0000.2891634605469762
+0000.0214418868690025,+0000.6868874643424637,+0000.2916706487885330
+0000.0213686516964768,+0000.6844620664504617,+0000.2941692818530607
+0000.0212955307085291,+0000.6820450966903921,+0000.2966593726010779
+0000.0212225316841754,+0000.6796365334853003,+0000.2991409348305234
+0000.0211496619129244,+0000.6772363548691227,+0000.3016139832179520
+0000.0210769282225117,+0000.6748445385144263,+0000.3040785332630611
+0000.0210043370050818,+0000.6724610617585560,+0000.3065346012363613
+0000.0209318942419020,+0000.6700859016282817,+0000.3089822041298154
+0000.0208596055266920,+0000.6677190348630284,+0000.3114213596102787
+0000.0207874760876438,+0000.6653604379367717,+0000.3138520859755836
+0000.0207155108082058,+0000.6630100870786716,+0000.3162744021131217
+0000.0206437142466997,+0000.6606679582925197,+0000.3186883274607798
+0000.0205720906548346,+0000.6583340273750630,+0000.3210938819701016
+0000.0205006439951810,+0000.6560082699332719,+0000.3234910860715463
+0000.0204293779576607,+0000.6536906614006092,+0000.3258799606417294
+0000.0203582959751097,+0000.6513811770523584,+0000.3282605269725311
+0000.0202874012379647,+0000.6490797920200646,+0000.3306328067419699
+0000.0202166967081217,+0000.6467864813051372,+0000.3329968219867404
+0000.0201461851320147,+0000.6445012197916630,+0000.3353525950763216
+0000.0200758690529565,+0000.6422239822584748,+0000.3377001486885681
+0000.0200057508227836,+0000.6399547433905162,+0000.3400395057866996
+0000.0199358326128448,+0000.6376934777895441,+0000.3423706895976104
+0000.0198661164243693,+0000.6354401599842054,+0000.3446937235914246
+0000.0197966040982490,+0000.6331947644395247,+0000.3470086314622255
+0000.0197272973242701,+0000.6309572655658340,+0000.3493154371098953
+0000.0196581976498211,+0000.6287276377271795,+0000.3516141646229987
+0000.0195893064881107,+0000.6265058552492323,+0000.3539048382626563
+0000.0195206251259205,+0000.6242918924267322,+0000.3561874824473467
+0000.0194521547309188,+0000.6220857235304916,+0000.3584621217385890
+0000.0193838963585622,+0000.6198873228139841,+0000.3607287808274531
+0000.0193158509586058,+0000.6176966645195403,+0000.3629874845218533
+0000.0192480193812456,+0000.6155137228841758,+0000.3652382577345780
+0000.0191804023829128,+0000.6133384721450689,+0000.3674811254720177
+0000.0191130006317408,+0000.6111708865447110,+0000.3697161128235476
+0000.0190458147127221,+0000.6090109403357463,+0000.3719432449515310
+0000.0189788451325736,+0000.6068586077855193,+0000.3741625470819065
+0000.0189120923243258,+0000.6047138631803460,+0000.3763740444953275
+0000.0188455566516527,+0000.6025766808295266,+0000.3785777625188200
+0000.0187792384129554,+0000.6004470350691109,+0000.3807737265179330
+0000.0187131378452151,+0000.5983249002654337,+0000.3829619618893505
+0000.0186472551276271,+0000.5962102508184317,+0000.3851424940539406
+0000.0185815903850288,+0000.5941030611647548,+0000.3873153484502159
+0000.0185161436911333,+0000.5920033057806831,+0000.3894805505281830
+0000.0184509150715798,+0000.5899109591848611,+0000.3916381257435584
+0000.0183859045068102,+0000.5878259959408602,+0000.3937880995523290
+0000.0183211119347830,+0000.5857483906595761,+0000.3959304974056403
