+0001.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000
+0000.9998782073400985,+0000.0000250089605004,+0000.0000906128058338,+0000.0000000006255003,+0000.0000061702680671
+0000.9995252763138246,+0000.0001000239381208,+0000.0003286765587889,+0000.0000000088391634,+0000.0000460143501024
+0000.9989586132626694,+0000.0002250103258840,+0000.0006717237515799,+0000.0000000417475677,+0000.0001446109122990
+0000.9981940633448111,+0000.0003999129296707,+0000.0010864110251831,+0000.0000001237398777,+0000.0003194889604574
+0000.9972460484174726,+0000.0006246578493174,+0000.0015467408797941,+0000.0000002838238685,+0000.0005822690295474
+0000.9961276936571803,+0000.0008991541538244,+0000.0020326155950401,+0000.0000005535992441,+0000.0009399829947110
+0000.9948509436697073,+0000.0012232953726932,+0000.0025286625484848,+0000.0000009657359093,+0000.0013961326732054
+0000.9934266688256924,+0000.0015969608231636,+0000.0030232811397311,+0000.0000015528505687,+0000.0019515363608440
+0000.9918647625338276,+0000.0020200167910852,+0000.0035078705597394,+0000.0000023466959182,+0000.0026050034194296
+0000.9901742301336119,+0000.0024923175813220,+0000.0039762050483228,+0000.0000033775936463,+0000.0033538696430968
+0000.9883632700559878,+0000.0030137064519353,+0000.0044239293500590,+0000.0000046740562094,+0000.0041944200858084
+0000.9864393478642186,+0000.0035840164448932,+0000.0048481520503831,+0000.0000062625534700,+0000.0051222210870350
+0000.9844092637503353,+0000.0042030711247190,+0000.0052471185465801,+0000.0000081673892824,+0000.0061323791890832
+0000.9822792140252601,+0000.0048706852352773,+0000.0056199487445142,+0000.0000104106603727,+0000.0072197413345757
+0000.9800548471039862,+0000.0055866652838160,+0000.0059664273039344,+0000.0000130122757085,+0000.0083790480325548
+0000.9777413144514407,+0000.0063508100604059,+0000.0062868364919263,+0000.0000159900192574,+0000.0096050489769695
+0000.9753433169202358,+0000.0071629111000462,+0000.0065818235348331,+0000.0000193596428069,+0000.0108925888020779
+0000.9728651468786537,+0000.0080227530939205,+0000.0068522958569867,+0000.0000231349785389,+0000.0122366691919001
+0000.9703107264960742,+0000.0089301142555855,+0000.0070993388199373,+0000.0000273280634574,+0000.0136324923649455
