+0001.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000
+0000.9998957953408413,+0000.0001001968198324,+0000.0000040077389253,+0000.0000000001004010
+0000.9995832251998394,+0000.0004007455149644,+0000.0000160276789511,+0000.0000000016062450
+0000.9990624210659902,+0000.0009015208114206,+0000.0000360499924679,+0000.0000000081301213
+0000.9983336020247747,+0000.0016023139780658,+0000.0000640583082505,+0000.0000000256889090
+0000.9973970746639220,+0000.0025028329148138,+0000.0001000297236379,+0000.0000000626976263
+0000.9962532329415335,+0000.0036027022760664,+0000.0001439348215742,+0000.0000001299608258
+0000.9949025580166275,+0000.0049014636293304,+0000.0001957376924997,+0000.0000002406615423
+0000.9933456180421788,+0000.0063985756489424,+0000.0002553959610762,+0000.0000004103478025
+0000.9915830679207419,+0000.0080934143448210,+0000.0003228608177311,+0000.0000006569167059
+0000.9896156490227669,+0000.0099852733261449,+0000.0003980770549983,+0000.0000010005960899
+0000.9874441888677292,+0000.0120733640998465,+0000.0004809831086319,+0000.0000014639237923
+0000.9850696007682144,+0000.0143568164037899,+0000.0005715111034672,+0000.0000020717245285
+0000.9824928834371116,+0000.0168346785744919,+0000.0006695869039970,+0000.0000028510843995
+0000.9797151205580897,+0000.0195059179492276,+0000.0007751301696311,+0000.0000038313230515
+0000.9767374803195419,+0000.0223694213023468,+0000.0008880544146030,+0000.0000050439635082
+0000.9735612149122033,+0000.0254239953156145,+0000.0010082670724834,+0000.0000065226996987
+0000.9701876599906617,+0000.0286683670823730,+0000.0011356695652592,+0000.0000083033617061
+0000.9666182340989957,+0000.0321011846453088,+0000.0012701573769317,+0000.0000104238787637
+0000.9628544380607923,+0000.0357210175675928,+0000.0014116201315871,+0000.0000129242400278
+0000.9588978543338098,+0000.0395263575371495,+0000.0015599416758855,+0000.0000158464531553
+0000.9547501463295691,+0000.0435156190037929,+0000.0017150001659170,+0000.0000192345007210
+0000.9504130576981694,+0000.0476871398489585,+0000.0018766681583659,+0000.0000231342945061
+0000.9458884115786417,+0000.0520391820877411,+0000.0020448127059240,+0000.0000275936276932
+0000.9411781098151679,+0000.0565699326029368,+0000.0022192954568889,+0000.0000326621250063
+0000.9362841321395080,+0000.0612775039107755,+0000.0023999727588839,+0000.0000383911908325
+0000.9312085353199910,+0000.0661599349580126,+0000.0025866957666292,+0000.0000448339553672
+0000.9259534522774447,+0000.0712151919500384,+0000.0027793105536941,+0000.0000520452188228
+0000.9205210911684469,+0000.0764411692096501,+0000.0029776582281573,+0000.0000600813937458
+0000.9149137344363015,+0000.0818356900661152,+0000.0031815750520976,+0000.0000690004454857
+0000.9091337378301527,+0000.0873965077741467,+0000.0033908925648375,+0000.0000788618308630
+0000.9031835293926657,+0000.0931213064623937,+0000.0036054377098575,+0000.0000897264350831
+0000.8970656084167168,+0000.0990077021110401,+0000.0038250329652974,+0000.0001016565069456
+0000.8907825443715486,+0000.1050532435580920,+0000.0040494964779594,+0000.0001147155923999
+0000.8843369757988582,+0000.1112554135339214,+0000.0042786422007224,+0000.0001289684664978
+0000.8777316091793022,+0000.1176116297236212,+0000.0045122800332792,+0000.0001444810637973
+0000.8709692177699120,+0000.1241192458567158,+0000.0047502159661006,+0000.0001613204072715
