+0000.9999999999999991,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000
+0000.9998749554058959,+0000.0000250089605188,+0000.0001000350081003,+0000.0000000006254846,+0000.0000000000000000
+0000.9994998866694995,+0000.0001000233331757,+0000.0004000799903215,+0000.0000000100070028,+0000.0000000000000000
+0000.9988749888918911,+0000.0002250055979040,+0000.0008999548560872,+0000.0000000506541171,+0000.0000000000000000
+0000.9980005871193477,+0000.0003998932433623,+0000.0015993595732909,+0000.0000001600639986,+0000.0000000000000000
+0000.9968771361601283,+0000.0006245988000764,+0000.0024978743465042,+0000.0000003906932904,+0000.0000000000000000
+0000.9955052203281272,+0000.0008990098868109,+0000.0035949598663207,+0000.0000008099187407,+0000.0000000000000000
+0000.9938855531135316,+0000.0012229892701473,+0000.0048899576296912,+0000.0000014999866295,+0000.0000000000000000
+0000.9920189767806860,+0000.0015963749372319,+0000.0063820903310597,+0000.0000025579510219,+0000.0000000000000000
+0000.9899064618933862,+0000.0020189801816558,+0000.0080704623240720,+0000.0000040956008851,+0000.0000000000000000
+0000.9875491067678814,+0000.0024905937024174,+0000.0099540601535852,+0000.0000062393761153,+0000.0000000000000000
+0000.9849481368538976,+0000.0030109797159124,+0000.0120317531576634,+0000.0000091302725259,+0000.0000000000000000
+0000.9821049040440409,+0000.0035798780808892,+0000.0143022941392113,+0000.0000129237358577,+0000.0000000000000000
+0000.9790208859119807,+0000.0041970044362992,+0000.0167643201068445,+0000.0000177895448748,+0000.0000000000000000
+0000.9756976848798464,+0000.0048620503519660,+0000.0194163530845655,+0000.0000239116836217,+0000.0000000000000000
+0000.9721370273153261,+0000.0055746834919874,+0000.0222568009897671,+0000.0000314882029186,+0000.0000000000000000
+0000.9683407625589824,+0000.0063345477907827,+0000.0252839585790510,+0000.0000407310711833,+0000.0000000000000000
+0000.9643108618823457,+0000.0071412636416820,+0000.0284960084613008,+0000.0000518660146709,+0000.0000000000000000
+0000.9600494173773938,+0000.0079944280979562,+0000.0318910221774173,+0000.0000651323472322,+0000.0000000000000000
+0000.9555586407780461,+0000.0088936150861740,+0000.0354669613460831,+0000.0000807827896962,+0000.0000000000000000
+0000.9508408622143717,+0000.0098383756317655,+0000.0392216788748733,+0000.0000990832789889,+0000.0000000000000000
